;matchId;blue_win;blueGold;blueMinionsKilled;blueJungleMinionsKilled;blueAvgLevel;redGold;redMinionsKilled;redJungleMinionsKilled;redAvgLevel;blueChampKills;blueHeraldKills;blueDragonKills;blueTowersDestroyed;redChampKills;redHeraldKills;redDragonKills;redTowersDestroyed
67;3503823664;0;26013;333;84;9,4;26280;330;92;9,2;10;1;0;0;11;2;0;0
68;3503499275;1;27200;359;70;9,2;25460;364;84;9,2;12;3;0;1;6;0;0;1
69;3503477160;0;26897;310;56;9;29786;328;88;9,2;16;0;0;1;16;3;0;0
70;3502184816;0;26912;353;86;9,2;25477;382;72;9,2;11;2;0;0;8;1;0;1
71;3485972414;0;26470;334;94;9,6;27770;361;86;9,4;13;0;0;2;13;2;0;0
72;3485939768;1;26734;331;79;9,4;26250;333;75;9;11;0;0;0;12;2;0;1
73;3477871440;1;29757;311;68;9;25215;300;94;8,8;21;1;0;0;10;1;0;0
74;3477797602;0;22303;311;77;9;25182;351;90;9;6;0;0;0;11;3;0;0
75;3477745417;0;22466;309;46;8,4;28899;364;115;10;6;0;0;2;14;2;0;0
76;3484446850;1;29120;376;108;9,6;20676;320;73;8,4;11;3;0;0;2;0;0;2
77;3453882644;1;26678;282;72;8,8;28969;363;60;9,4;14;1;0;1;15;0;0;0
78;3453819135;1;25338;358;92;9;23763;294;73;8,6;7;1;0;0;10;1;0;1
79;3453855524;0;23122;311;84;8,8;28654;365;108;10;7;1;0;0;15;1;0;0
80;3453822310;0;25229;291;88;9;28376;362;93;9,6;9;1;0;0;17;2;0;0
81;3465850992;0;27484;345;91;9,4;25252;314;88;9,2;12;1;0;0;10;2;0;1
82;3463858121;0;22677;243;40;7,6;33974;367;86;9,4;10;0;0;7;15;3;0;0
83;3462420110;1;28691;333;76;9,4;24494;323;74;8,8;12;2;0;1;8;0;0;3
84;3458322760;0;24079;325;88;9;29382;344;111;9,8;8;0;0;2;14;3;0;0
85;3483129089;1;23842;342;90;9;27052;380;104;9,4;6;0;0;2;8;3;0;0
86;3483116200;1;29015;303;84;9,2;26781;332;78;9,2;16;2;0;1;11;0;0;3
87;3480414972;0;22352;329;107;9,2;26565;411;96;9,6;4;1;0;2;9;2;0;0
88;3480459958;1;28936;285;69;8,8;26654;281;65;8,6;16;0;0;0;16;2;0;2
89;3480337659;1;28703;327;104;9,8;24168;350;71;9;16;3;0;1;5;0;0;1
90;3506443878;1;27370;350;85;9;24917;305;61;9,2;12;1;0;0;12;2;0;1
91;3506413143;1;24725;321;78;9,2;27193;372;97;9,2;10;0;0;1;10;2;0;0
92;3501214047;1;28342;375;98;9,6;22417;318;83;8,4;12;1;0;1;4;2;0;1
93;3501230780;0;24651;374;97;9,2;29061;358;87;9,6;7;1;0;1;14;2;0;0
94;3501186744;0;24922;328;88;9,4;25526;382;101;9,2;10;1;0;1;7;2;0;0
95;3491942207;1;34053;264;96;9,4;29910;276;64;8,6;25;1;0;1;19;2;0;4
96;3489227645;0;25659;332;77;8,6;30299;341;78;9,6;8;1;0;2;17;2;0;0
97;3489282773;1;28032;321;100;9,6;24666;323;72;8,4;14;2;0;1;9;1;0;1
98;3488249599;1;28557;300;80;9,2;25031;286;64;8,6;16;0;0;0;14;1;0;1
99;3488055921;0;26539;312;66;9,6;25780;330;77;9,4;15;3;0;0;10;0;0;1
100;3512014915;0;23122;283;53;8,6;31752;352;112;9,8;9;0;0;4;16;3;0;0
101;3511974685;1;27559;368;95;9,8;22456;358;101;8,8;10;2;0;0;2;0;0;1
102;3512001398;0;22629;317;101;9,2;26527;356;99;9,8;5;0;0;0;12;2;0;0
103;3511938935;1;23397;308;77;8,8;27528;347;84;9,6;7;1;0;1;14;0;0;0
104;3511927287;0;22428;326;94;8,8;24137;344;84;9;5;2;0;0;9;1;0;0
105;3486747230;0;29221;329;76;9;27256;344;54;9;16;1;0;1;13;2;0;1
106;3477155656;0;25773;338;88;9,2;28142;357;76;9,6;10;2;0;1;13;1;0;0
107;3463819853;1;23320;358;90;9,4;22712;368;83;9,4;6;2;0;0;2;1;0;0
108;3461973229;1;24272;342;77;9;25397;373;107;9,6;7;1;0;1;7;1;0;0
109;3454752566;0;23132;354;76;8,8;24997;365;109;9,2;5;2;0;0;7;1;0;0
110;3507811406;1;26622;366;62;8,6;25682;356;92;9;10;0;0;2;6;3;0;1
111;3507728954;1;25090;327;92;8,6;26589;322;109;9;9;2;0;2;8;1;0;1
112;3507716096;0;24557;294;92;8,8;28086;361;90;9,4;11;2;0;1;13;1;0;0
113;3507700551;0;26906;373;105;9,6;25173;361;92;9,4;10;2;0;0;9;1;0;1
114;3507646335;1;30499;314;92;9,4;23205;289;48;8,6;18;2;0;0;9;0;0;3
115;3495405228;1;27829;304;112;9,8;27036;319;76;9;13;2;0;1;12;1;0;0
116;3495084355;0;28522;298;73;9;29899;356;71;9;18;1;0;1;17;1;0;0
117;3494989641;0;23096;320;72;8,6;31460;385;104;9,6;7;0;0;3;16;3;0;0
118;3494794885;0;25688;350;80;9;27798;284;88;9,2;9;2;0;0;18;1;0;1
119;3484246773;0;26465;288;71;8,6;32134;338;78;9,6;14;0;0;2;22;3;0;0
120;3451805842;0;24917;298;99;9;27297;329;92;9,2;11;1;0;1;13;1;0;0
121;3451739709;1;23282;316;72;8,4;26954;337;96;9,4;8;1;0;1;14;2;0;0
122;3450855716;0;22438;299;80;9,2;29563;386;106;9,8;7;1;0;2;12;2;0;0
123;3450767739;0;23129;341;91;8,8;23610;336;79;8,8;5;0;0;0;7;3;0;0
124;3511432610;0;23743;361;84;9,2;25786;390;92;9,4;6;2;0;1;5;1;0;0
125;3502232741;1;28628;323;74;9,6;22502;323;64;8,8;17;1;0;0;5;0;0;1
126;3481635485;0;27103;358;76;9,4;26329;301;66;9;12;0;0;1;13;2;0;0
127;3452107812;0;23535;330;82;9;29539;357;105;9,6;7;1;0;2;11;2;0;0
128;3452053068;0;24640;336;88;9;30036;370;98;9,4;6;0;0;3;14;3;0;1
129;3492369782;1;26865;373;69;9,2;28576;400;63;9,6;11;2;0;1;12;0;0;1
130;3486201066;0;23343;339;87;9;26958;294;78;9;8;0;0;2;12;2;0;0
131;3486107377;1;26130;371;76;9,6;25068;361;64;9;10;1;0;0;10;1;0;0
132;3480191039;1;30732;369;84;9,2;28506;359;66;9,4;16;1;0;1;15;1;0;2
133;3480155341;1;24219;361;73;9;26076;381;97;9,4;8;1;0;1;9;2;0;1
134;3511567531;1;24952;336;74;9;25775;313;103;9,2;10;0;0;0;11;3;0;0
135;3511561159;1;29631;371;71;9,8;23566;275;96;8,8;18;3;0;0;7;0;0;3
136;3497190858;1;25357;327;84;8,8;26651;364;112;9,8;6;2;0;1;11;1;0;2
137;3489149321;0;29203;345;80;9,8;29816;339;112;10;16;1;0;0;16;2;0;0
138;3489104877;1;29063;335;77;9,6;23718;352;59;9;19;2;0;0;7;0;0;1
139;3508546290;1;30301;320;76;9,2;26962;320;86;8,6;21;2;0;0;12;0;0;1
140;3508560041;0;29112;353;96;9,4;25733;306;104;9,2;13;1;0;1;11;2;0;2
141;3505186387;0;27311;322;108;9,2;26442;347;85;9,2;10;3;0;2;7;0;0;2
142;3505211704;1;27777;353;72;9,6;25399;340;72;9,4;13;2;0;0;11;0;0;1
143;3504350132;0;23445;356;80;8,8;30099;381;94;9,8;6;0;0;3;14;3;0;0
144;3501239305;1;27540;316;72;9,2;28248;364;90;9;11;1;0;2;12;1;0;2
145;3501256179;0;25836;391;88;9,6;29034;371;95;9,6;9;0;0;2;11;2;0;0
146;3493043094;0;24661;381;63;8,4;25199;346;80;9,4;5;0;0;0;12;1;0;1
147;3493051059;1;29325;351;102;9,2;23580;353;85;8,6;13;2;0;1;4;0;0;2
148;3492998686;1;29487;327;124;9,8;23900;334;82;8,8;15;2;0;1;5;1;0;2
149;3511776184;0;24409;346;68;9;27344;347;104;9;9;0;0;1;11;3;0;0
150;3511709574;0;29481;360;92;9,6;20672;268;76;8,4;15;0;0;0;3;3;0;2
151;3485248432;0;24266;318;80;8,8;31630;353;87;9,6;8;0;0;2;21;2;0;0
152;3480868929;0;27807;322;75;8,8;26724;352;76;9;14;2;0;0;12;1;0;1
153;3470672216;0;27861;334;115;9,6;25676;339;82;9,2;14;1;0;0;8;1;0;0
154;3469713037;0;26821;394;72;9,2;28710;372;110;9,4;9;1;0;1;14;2;0;1
155;3466616325;1;24709;356;63;9,2;22738;339;91;8,4;12;2;0;0;5;1;0;0
156;3464555499;1;27021;398;111;9,6;24110;373;76;9,2;9;3;0;0;7;0;0;1
157;3464513501;0;23157;374;68;8,6;30559;373;99;9,8;5;0;0;2;16;2;0;0
158;3497142312;0;25030;328;112;9;28438;377;84;9,2;7;2;0;1;12;1;0;1
159;3488807763;0;26570;299;71;9;26963;357;98;9,4;11;1;0;1;12;1;0;1
160;3447308397;1;27131;379;100;9,6;23832;387;92;9,4;13;1;0;0;5;1;0;1
161;3445745890;0;23397;345;91;9;31175;410;87;9,8;6;1;0;0;17;2;0;0
162;3445608206;1;28116;395;96;9,8;27240;354;79;9,2;9;1;0;1;11;2;0;1
163;3487970509;1;32788;311;76;9,2;25544;261;55;8,8;24;2;0;0;14;1;0;2
164;3459782621;1;24956;392;80;9,4;25658;373;84;8,8;7;0;0;1;9;3;0;1
165;3451656088;1;28245;369;92;9,6;24050;335;84;8,8;12;2;0;0;6;0;0;2
166;3449157928;0;25039;307;67;8,4;32009;343;89;9,2;10;0;0;3;18;3;0;1
167;3447677471;1;23055;331;79;8,6;29222;365;86;9,6;5;1;0;0;18;1;0;0
168;3480321143;0;23323;347;59;9;25447;325;68;9,2;8;0;0;1;8;2;0;0
169;3480197387;0;23249;282;71;8,8;28669;323;84;9,8;9;0;0;1;17;3;0;0
170;3480204621;1;29169;375;91;9,8;19709;291;84;8,2;18;1;0;0;1;1;0;1
171;3480250992;1;26588;323;76;8,8;27085;342;65;9;13;1;0;2;11;1;0;0
172;3473644387;1;32498;378;103;9,8;20892;319;58;8,4;18;3;0;0;4;0;0;3
173;3511078777;0;26720;331;74;9;27895;292;102;9;11;1;0;0;17;2;0;1
174;3510206485;1;27491;339;76;9,4;27778;363;110;9,4;15;1;0;1;9;1;0;1
175;3510160909;0;27372;334;76;9,2;23688;313;82;8,8;13;1;0;0;8;2;0;1
176;3510113685;1;25209;377;100;9;24427;352;101;9,4;5;2;0;0;7;1;0;1
177;3507571870;1;26384;342;63;9;25840;340;84;9,4;13;1;0;0;12;2;0;0
178;3489157426;1;26447;358;101;9,8;23220;364;72;8,8;12;3;0;0;5;0;0;0
179;3460577707;1;26688;372;68;9,2;23959;295;96;9;9;2;0;0;6;1;0;3
180;3431092003;1;24131;371;62;8,8;25638;368;88;9,2;6;0;0;0;9;3;0;1
181;3430973746;1;23975;360;85;9,2;27578;402;88;9,4;6;1;0;2;9;2;0;0
182;3426072172;1;28272;370;78;9,2;23168;336;80;9,2;12;2;0;0;7;1;0;3
183;3499048583;0;26076;342;66;9;27078;358;89;9,6;10;1;0;0;12;2;0;1
184;3497935006;1;22464;332;81;8,6;25375;390;80;9,4;5;1;0;0;9;2;0;0
185;3497910149;1;27042;347;85;9,6;25556;297;73;9;14;1;0;1;11;0;0;1
186;3494827729;1;25340;351;114;9,2;22593;348;90;9,4;5;2;0;0;4;1;0;1
187;3506201508;0;22630;244;67;8,2;32752;382;82;9,8;8;1;0;3;24;1;0;0
188;3505293846;1;30612;325;104;9,6;24243;368;84;9;19;3;0;1;4;0;0;3
189;3505251145;0;23006;334;69;8,6;30616;391;95;9,4;5;0;0;3;16;3;0;0
190;3505235120;0;26826;350;102;9,4;29526;342;91;9,8;10;3;0;1;17;0;0;1
191;3505210853;1;28364;340;81;9,4;27611;366;82;9,4;15;2;0;1;11;0;0;0
192;3507558433;0;26317;312;87;8,8;27778;312;72;9,2;12;2;0;0;16;0;0;1
193;3504591011;0;26082;359;100;9;26344;383;94;9,4;6;1;0;1;10;2;0;1
194;3504500160;1;25408;384;76;9,2;24971;358;92;9,2;9;0;0;1;7;3;0;0
195;3501714095;0;22451;313;103;9;28007;372;92;9,4;6;0;0;2;11;3;0;0
196;3501619551;1;26081;409;81;9;23241;342;103;9,6;5;1;0;0;4;1;0;1
197;3511679761;1;28939;320;99;9,6;26815;338;65;9,6;17;1;0;0;13;0;0;1
198;3511581997;0;25502;302;64;9;28429;337;66;9,2;12;1;0;2;16;2;0;0
199;3508617008;0;22504;308;80;8,8;27709;354;96;9,4;6;0;0;2;9;3;0;0
200;3508660429;0;24097;342;96;8,8;29543;351;112;9,6;6;0;0;2;15;3;0;0
201;3508587246;1;29734;386;99;9,8;22889;360;86;9;15;2;0;0;6;1;0;1
202;3497764252;0;24438;348;69;8,6;29994;352;89;9,4;7;1;0;2;15;2;0;1
203;3497738789;1;32393;402;107;9,6;24823;354;89;9,2;18;3;0;0;8;0;0;3
204;3497704639;1;26565;377;86;9,4;22625;358;97;9,2;7;3;0;0;4;1;0;2
205;3497740386;0;26088;355;66;9,2;26553;350;94;9,6;10;1;0;0;12;2;0;1
206;3494736703;1;31049;389;102;9,8;22966;380;83;9;17;3;0;0;5;0;0;2
207;3510161421;1;29333;333;86;9,6;26671;320;83;8,8;20;2;0;1;12;0;0;1
208;3488008364;1;23803;343;84;8,8;24683;325;64;8,6;8;0;0;0;10;2;0;0
209;3461922215;1;28351;367;99;9,6;25556;318;75;9;12;2;0;1;10;1;0;2
210;3433580311;1;26069;334;72;9,4;27139;356;86;9,4;13;1;0;0;12;1;0;0
211;3433555875;1;32257;361;120;9,8;18656;268;72;7,6;14;3;0;0;1;0;0;7
212;3505781690;0;23582;354;83;8,8;28630;338;96;9,8;6;0;0;2;14;3;0;0
213;3505249383;1;33787;376;85;9,6;24134;256;101;8,8;19;1;0;1;8;2;0;5
214;3505215937;1;27095;355;76;9;26999;368;84;9;15;2;0;0;11;1;0;0
215;3505191194;1;23077;343;88;9;23494;386;93;9,2;4;1;0;0;4;2;0;0
216;3505156964;1;24017;340;110;9,2;25689;322;65;9,2;6;1;0;1;10;2;0;0
217;3500953434;1;28088;364;81;9,6;22986;307;89;8,8;12;1;0;0;6;2;0;2
218;3475429711;0;22505;277;88;8,8;33442;349;106;9,8;8;1;0;4;20;2;0;0
219;3448698652;0;22982;277;88;8,8;31319;365;99;10;8;1;0;3;19;1;0;0
220;3436121785;1;27773;306;76;9,4;30473;340;82;9;15;1;0;2;18;2;0;0
221;3436016935;1;25506;312;67;9,2;24761;339;86;8,8;13;2;0;1;7;1;0;0
222;3493118886;0;24907;268;65;8,4;30151;322;78;9,2;13;2;0;1;21;1;0;0
223;3471033575;1;29610;325;96;9,2;24748;318;76;9;14;3;0;0;10;0;0;1
224;3448316448;0;22363;351;61;8,8;28251;374;121;9,8;4;0;0;1;14;2;0;0
225;3442964993;0;27782;324;62;8,8;30141;285;101;9,4;15;0;0;1;21;2;0;1
226;3410719165;1;27785;356;96;9,6;25811;361;96;9;12;2;0;1;7;0;0;1
227;3501712219;1;22941;358;85;9;25090;375;74;8,8;5;3;0;0;7;0;0;0
228;3501653535;1;31949;384;86;10;19802;274;79;7,8;21;2;0;0;3;1;0;3
229;3501608771;0;23302;336;65;9;27828;375;92;9,4;8;0;0;2;11;1;0;0
230;3499753891;1;29200;285;82;9;32368;312;61;9;20;2;0;1;19;0;0;0
231;3499751085;0;26737;373;101;9,4;25569;354;86;9,2;10;3;0;1;7;0;0;2
232;3499706489;1;28531;331;92;9;24581;280;76;8,6;16;2;0;0;13;1;0;2
233;3499663870;0;23451;309;73;8,4;27614;322;87;9,2;8;0;0;0;17;1;0;0
234;3499629086;1;31111;403;72;9,2;25973;311;75;9;15;1;0;0;13;1;0;2
235;3500697970;0;24433;356;56;9,2;27490;357;97;9,4;11;1;0;1;11;2;0;0
236;3497130183;0;27644;314;78;9;24943;339;65;9;12;2;0;0;10;1;0;1
237;3492034928;0;25835;358;92;9,4;28257;335;84;9,4;8;3;0;1;13;0;0;1
238;3463202209;1;27282;345;91;9,2;24405;370;75;8,8;12;1;0;0;7;1;0;1
239;3463115652;0;24250;379;75;9,2;25468;387;86;9,4;4;1;0;0;9;2;0;1
240;3507779378;0;21276;188;81;7,4;32743;312;80;9;9;0;0;5;19;2;0;0
241;3476595625;1;22223;365;81;8,8;24580;397;101;9,4;3;0;0;0;5;2;0;0
242;3476602825;0;24938;327;89;9,4;27161;331;101;9,2;10;0;0;0;13;2;0;0
243;3476619860;0;26353;327;76;9,2;27665;362;80;9,2;14;1;0;1;14;2;0;0
244;3476415882;0;31867;345;100;9,4;25510;316;66;8,6;20;3;0;0;12;0;0;2
245;3506516221;1;25550;307;85;9,2;25661;322;83;9,4;13;1;0;1;10;2;0;0
246;3506552573;1;30470;340;94;9,8;27064;381;63;9,4;16;2;0;1;10;0;0;2
247;3506508290;0;25871;368;91;8,8;30528;365;99;9,6;7;2;0;2;16;1;0;1
248;3506455941;1;28272;376;82;9,6;26027;363;76;9;12;3;0;1;9;0;0;1
249;3506471591;1;28652;397;104;9,6;25448;328;84;9,2;9;3;0;0;9;0;0;2
250;3508963118;1;27848;361;79;9,2;23118;319;64;8,4;13;2;0;0;8;1;0;1
251;3508954290;0;23810;297;72;8,8;29881;369;95;10;6;1;0;1;19;2;0;0
252;3508679817;1;32951;384;120;9,8;21513;301;77;8,6;19;3;0;0;3;0;0;4
253;3508613543;0;30100;292;81;9;32106;346;90;9,6;20;1;0;2;21;2;0;1
254;3507235308;1;28326;298;108;9,2;27545;337;80;9;15;3;0;1;15;0;0;1
255;3497912258;0;27235;357;78;9;30634;379;108;9,6;11;1;0;2;16;2;0;0
256;3484385205;0;22398;284;88;8,4;28317;361;80;9,2;7;0;0;2;13;3;0;0
257;3484307926;1;28543;392;55;9,4;24029;327;92;9,4;15;1;0;0;7;0;0;1
258;3483263292;0;24605;273;98;8,8;31316;322;109;9,8;12;0;0;2;18;3;0;0
259;3483199702;0;28479;358;93;9,2;30957;328;92;9,6;13;1;0;1;18;2;0;1
260;3512033847;0;27130;313;82;9;26375;348;72;9;10;3;0;1;10;0;0;1
261;3512031848;1;30884;354;92;9,6;26313;303;88;9;16;1;0;1;13;1;0;2
262;3511969548;0;25933;314;87;8,6;26272;349;70;9,2;8;2;0;1;12;1;0;1
263;3511958080;0;28826;375;92;10;25581;378;90;9,2;12;1;0;1;8;2;0;1
264;3496769765;1;25273;325;82;9,2;25041;347;102;9,4;12;2;0;0;8;1;0;0
265;3496278179;0;24365;340;72;9,2;29224;391;108;9,6;7;1;0;2;12;2;0;0
266;3488795049;1;27163;280;74;9,4;25856;313;93;9,2;17;3;0;1;10;0;0;1
267;3485847114;0;26913;378;96;9,2;25463;382;102;9,2;7;2;0;0;6;1;0;2
268;3485853300;1;29231;407;115;9,8;23821;408;90;9,2;11;3;0;0;4;0;0;1
269;3489469948;0;25507;300;64;9,2;26358;322;79;8,8;13;0;0;0;13;2;0;0
270;3489101071;1;33768;368;84;10,2;25361;343;60;9;18;2;0;0;12;0;0;5
271;3488998066;1;27565;326;69;9;29084;358;64;9,2;12;3;0;2;17;0;0;2
272;3488973038;0;21695;349;74;8,6;29333;441;99;9,8;3;0;0;2;12;2;0;0
273;3488839372;1;31885;379;75;9,6;23570;329;45;8,6;18;2;0;0;6;0;0;4
274;3505798468;1;28040;347;89;9,4;26088;361;90;9,4;7;1;0;0;10;1;0;2
275;3504098809;1;27575;343;97;9,2;22096;294;64;8,4;13;2;0;0;7;0;0;1
276;3504111753;1;26458;341;109;9,6;25904;356;93;8,8;11;1;0;1;8;2;0;0
277;3503983636;1;29707;379;116;9,8;23274;352;95;9;11;2;0;0;5;0;0;2
278;3503908998;1;25692;369;73;9,4;27932;395;100;9,6;9;0;0;2;10;3;0;0
279;3511439976;0;30316;357;103;9,6;25394;353;85;9;16;1;0;0;10;2;0;1
280;3510666383;1;27378;314;81;9;22674;294;60;8,6;16;2;0;0;8;1;0;1
281;3510664161;1;24108;369;109;9,2;22618;339;92;9,2;3;3;0;0;5;0;0;1
282;3509352659;1;27148;321;86;9,6;24548;317;95;9,2;12;1;0;0;9;2;0;1
283;3509331190;1;28961;301;63;8,8;29395;344;88;9,6;15;1;0;0;17;2;0;2
284;3490092979;0;28262;368;71;9,2;28301;335;95;9,4;14;0;0;1;12;3;0;0
285;3490016694;1;28497;384;75;9,4;24282;359;96;9,2;14;1;0;0;8;1;0;2
286;3490003757;1;31313;384;95;9,8;21450;319;76;8,8;18;2;0;0;2;0;0;2
287;3489938614;0;25683;386;108;9,4;28684;408;88;9,6;7;1;0;1;12;2;0;0
288;3484637258;1;27670;339;80;9,2;24380;378;100;9,2;14;1;0;0;6;1;0;1
289;3505711563;0;21505;254;61;8,4;32872;334;119;9,6;7;0;0;4;18;3;0;0
290;3480228815;0;26151;358;105;9,6;26453;397;104;9,8;9;1;0;1;8;2;0;0
291;3475749549;1;23596;251;87;9,2;26833;358;100;9;11;1;0;1;7;1;0;0
292;3457599416;0;26581;326;72;9,4;27054;349;76;9,4;12;0;0;0;15;3;0;0
293;3446208955;0;23946;335;62;9;31395;305;97;9,2;9;0;0;2;19;3;0;0
294;3497896555;0;23483;335;82;9,2;25150;326;116;9,4;8;0;0;0;10;3;0;0
295;3497678183;1;26827;388;77;9,2;23390;336;90;9;8;2;0;0;6;1;0;2
